|6.6.6
1,0_0,2_0,0_0,0_0,0_0,0_MANTLE_1.tab                                                                
           2
T(K)    
   2200.0000000000000     
   456.41025641025641     
          40
P(bar)  
   1250000.0000000000     
   4839743.5897435900     
          40
          23
T(K)           P(bar)         rho,kg/m3      v0,km/s        vp,km/s        vs,km/s        alpha,1/K      cp,J/K/kg      Wus,mo%        Pv,mo%         an,mo%         O,mo%          Wad,mo%        Ring,mo%       Gt_maj,mo%     Ppv,mo%        st,mo%         q,mo%          ca-pv,mo%      cfs,mo%        coe,mo%        ky,mo%         seif,mo%      
  2200.000       1250000.       5394.272       10.94918       14.09006       7.680098      0.1575584E-04   1281.755      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  2656.410       1250000.       5355.079       10.92858       14.03145       7.621402      0.1619444E-04   1305.136      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  3112.821       1250000.       5257.613       11.29244       14.03077       7.211612      0.1280808E-04   1293.915      0.1144891E-02   99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  3569.231       1250000.       5226.671       11.26552       13.94595       7.119206      0.1305698E-04   1307.438      0.1144891E-02   99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  4025.641       1250000.       5195.321       11.23831       13.85900       7.023477      0.1330785E-04   1320.575      0.1144891E-02   99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  4482.051       1250000.       5163.560       11.21081       13.76986       6.924235      0.1356460E-04   1333.699      0.1144891E-02   99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  4938.462       1250000.       5131.383       11.18302       13.67842       6.821250      0.1382989E-04   1347.037      0.1144891E-02   99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  5394.872       1250000.       5098.778       11.15491       13.58456       6.714248      0.1410574E-04   1360.749      0.1144891E-02   99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  5851.282       1250000.       5065.727       11.12648       13.48814       6.602918      0.1439394E-04   1374.958      0.1144891E-02   99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  6307.692       1250000.       5032.214       11.09772       13.38902       6.486900      0.1469616E-04   1389.770      0.1144891E-02   99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  6764.103       1250000.       4998.214       11.06860       13.28701       6.365781      0.1501413E-04   1405.281      0.1144891E-02   99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  7220.513       1250000.       4963.705       11.03909       13.18192       6.239083      0.1534967E-04   1421.591      0.1144891E-02   99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  7676.923       1250000.       4928.658       11.00917       13.07353       6.106258      0.1570478E-04   1438.801      0.1144891E-02   99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  8133.333       1250000.       4893.041       10.97882       12.96158       5.966662      0.1608169E-04   1457.022      0.1144891E-02   99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  8589.744       1250000.       4772.221       10.67267       13.06950       6.532945      0.2367901E-04   1653.193      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  9046.154       1250000.       4719.916       10.65559       12.97288       6.408232      0.2463259E-04   1697.253      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  9502.564       1250000.       4666.044       10.63932       12.87113       6.273211      0.2569132E-04   1746.282      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  9958.974       1250000.       4610.431       10.62402       12.76356       6.126087      0.2687584E-04   1801.276      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  10415.38       1250000.       4552.865       10.60991       12.64930       5.964559      0.2821288E-04   1863.524      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  10871.79       1250000.       4493.091       10.59727       12.52730       5.785607      0.2973768E-04   1934.732      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  11328.21       1250000.       4430.788       10.58648       12.39620       5.585169      0.3149781E-04   2017.208      0.1144891E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       99.99886       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
